,Year,Month,temp,Nombre,population,co2_including_luc,cumulative_co2_including_luc
515,1961,8.0,0.01,1.0,3068370688.0,15524.516,762458.25
516,1962,8.0,-0.01,7.0,3126686720.0,15643.748,778102.062
517,1963,8.0,0.23,2.0,3195779328.0,15924.23,794026.25
518,1964,8.0,-0.22,5.0,3267212288.0,16305.338,810331.625
519,1965,8.0,-0.04,7.0,3337112064.0,16384.297,826715.875
520,1966,8.0,-0.08,4.0,3406416896.0,16714.65,843430.562
521,1967,8.0,0.01,6.0,3475448064.0,17168.934,860599.5
522,1968,8.0,-0.09,11.0,3546810880.0,17888.312,878487.812
523,1969,8.0,0.04,6.0,3620655360.0,18433.381,896921.188
524,1970,8.0,-0.1,9.0,3695390208.0,19497.402,916418.562
525,1971,8.0,-0.01,6.0,3770163200.0,20091.359,936509.875
526,1972,8.0,0.16,2.0,3844800768.0,20819.232,957329.188
527,1973,8.0,0.05,6.0,3920251392.0,21533.803,978862.938
528,1974,8.0,0.1,6.0,3995516928.0,21338.432,1000201.375
529,1975,8.0,-0.17,5.0,4069437184.0,21424.682,1021626.062
530,1976,8.0,-0.12,7.0,4142505728.0,22296.721,1043922.812
531,1977,8.0,0.18,11.0,4215772416.0,22910.027,1066832.875
532,1978,8.0,-0.13,14.0,4289657600.0,23300.564,1090133.375
533,1979,8.0,0.17,16.0,4365582848.0,23677.932,1113811.375
534,1980,8.0,0.18,14.0,4444007936.0,23585.891,1137397.25
535,1981,8.0,0.35,10.0,4524627456.0,23427.91,1160825.125
536,1982,8.0,0.03,14.0,4607984640.0,23293.379,1184118.5
537,1983,8.0,0.35,16.0,4691884032.0,23811.387,1207929.875
538,1984,8.0,0.19,11.0,4775836160.0,24970.838,1232900.75
539,1985,8.0,0.16,21.0,4861730816.0,25405.865,1258306.5
540,1986,8.0,0.16,18.0,4950063104.0,25744.014,1284050.625
541,1987,8.0,0.25,16.0,5040984576.0,26386.771,1310437.375
542,1988,8.0,0.39,27.0,5132294144.0,27166.314,1337603.625
543,1989,8.0,0.33,16.0,5223704064.0,27279.248,1364882.875
544,1990,8.0,0.34,21.0,5316175872.0,27634.754,1392517.75
545,1991,8.0,0.39,28.0,5406245888.0,28002.021,1420519.625
546,1992,8.0,0.08,21.0,5492686336.0,27470.73,1447990.375
547,1993,8.0,0.11,24.0,5577433600.0,27689.318,1475679.75
548,1994,8.0,0.21,29.0,5660727808.0,28265.32,1503945.0
549,1995,8.0,0.45,19.0,5743219712.0,28746.965,1532692.0
550,1996,8.0,0.48,22.0,5825145344.0,29444.461,1562136.5
551,1997,8.0,0.41,34.0,5906481152.0,31407.445,1593544.0
552,1998,8.0,0.65,28.0,5987312640.0,29699.977,1623243.875
553,1999,8.0,0.31,39.0,6067758592.0,30221.426,1653465.375
554,2000,8.0,0.42,45.0,6148898816.0,30569.545,1684035.0
555,2001,8.0,0.49,44.0,6230747136.0,30407.066,1714442.0
556,2002,8.0,0.53,48.0,6312407552.0,31458.27,1745900.25
557,2003,8.0,0.64,39.0,6393898496.0,33304.418,1779204.625
558,2004,8.0,0.45,36.0,6475751424.0,33998.957,1813203.625
559,2005,8.0,0.6,44.0,6558176256.0,34331.27,1847534.75
560,2006,8.0,0.7,53.0,6641416192.0,35666.414,1883201.375
561,2007,8.0,0.6,65.0,6725948416.0,35943.77,1919145.125
562,2008,8.0,0.45,46.0,6811597312.0,36728.855,1955874.0
563,2009,8.0,0.69,29.0,6898306048.0,36597.754,1992471.625
564,2010,8.0,0.67,39.0,6985603072.0,38202.047,2030673.75
565,2011,8.0,0.75,46.0,7073125376.0,39451.125,2070124.875
566,2012,8.0,0.66,42.0,7161697792.0,39833.223,2109958.0
567,2013,8.0,0.7,35.0,7250593280.0,39947.32,2149905.25
568,2014,8.0,0.83,38.0,7339013632.0,40495.234,2190400.75
569,2015,8.0,0.79,41.0,7426597376.0,40944.281,2231344.75
570,2016,8.0,1.02,32.0,7513474048.0,40052.039,2271397.0
571,2017,8.0,0.87,46.0,7599822336.0,40428.684,2311825.75
572,2018,8.0,0.77,31.0,7683789824.0,41007.867,2352833.5
